,기간,구별,합계
0,2018,강남구,235005
1,2018,서대문구,86473
2,2018,동작구,105233
3,2018,서초구,182150
4,2018,동대문구,98296
5,2018,성동구,105529
6,2018,도봉구,97408
7,2018,성북구,116647
8,2018,노원구,153925
9,2018,송파구,235745
10,2018,금천구,86643
11,2018,양천구,150686
12,2018,영등포구,144317
13,2018,광진구,99798
14,2018,구로구,144757
15,2018,용산구,77334
16,2018,중랑구,114092
17,2018,강동구,136054
18,2018,중구,52036
19,2018,강북구,77521
20,2018,강서구,203739
21,2018,종로구,50734
22,2018,관악구,121858
23,2018,은평구,129594
24,2018,마포구,117630
25,2019,송파구,240131
26,2019,성북구,118125
27,2019,은평구,130171
28,2019,영등포구,142577
29,2019,성동구,105939
30,2019,용산구,76949
31,2019,종로구,50268
32,2019,서초구,181838
33,2019,중랑구,113326
34,2019,양천구,150101
35,2019,서대문구,87387
36,2019,중구,51772
37,2019,마포구,117778
38,2019,노원구,152836
39,2019,구로구,144298
40,2019,강서구,203826
41,2019,금천구,87422
42,2019,강북구,76692
43,2019,광진구,99690
44,2019,도봉구,96932
45,2019,관악구,120746
46,2019,동대문구,98072
47,2019,강남구,234462
48,2019,동작구,106028
49,2019,강동구,136194
50,2020,종로구,50143
51,2020,강동구,147014
52,2020,강남구,235428
53,2020,은평구,130932
54,2020,중구,51110
55,2020,강북구,76059
56,2020,용산구,77389
57,2020,강서구,204813
58,2020,마포구,118812
59,2020,양천구,150886
60,2020,관악구,119768
61,2020,동작구,105528
62,2020,광진구,98991
63,2020,송파구,243193
64,2020,구로구,144658
65,2020,성북구,119869
66,2020,금천구,87988
67,2020,성동구,105482
68,2020,노원구,152533
69,2020,서초구,181056
70,2020,도봉구,96073
71,2020,서대문구,88613
72,2020,동대문구,98080
73,2020,영등포구,143880
74,2020,중랑구,113027
