,구별,2018년,2019년,2020년
0,종로구,1520,1529,1729
1,중 구,1677,1871,2001
2,용산구,1459,1766,2383
3,성동구,2797,3059,3515
4,광진구,1669,2381,2556
5,동대문구,2002,2211,2315
6,중랑구,1305,2355,3285
7,성북구,2805,3521,3754
8,강북구,1000,1976,2462
9,도봉구,950,1164,1356
10,노원구,1771,2011,2282
11,은평구,2315,3372,3660
12,서대문구,2173,2501,2939
13,마포구,1777,2161,2401
14,양천구,2854,3109,3307
15,강서구,1624,2081,2437
16,구로구,3226,3660,4075
17,금천구,1488,1857,2365
18,영등포구,2495,2560,3773
19,동작구,1780,2022,2262
20,관악구,3982,4578,4909
21,서초구,2929,3290,3730
22,강남구,4918,5714,6645
23,송파구,1449,2517,2743
24,강동구,1577,1933,2547
