,기간,구별,발생합계,검거합계,살인(발생),살인(검거),강도(발생),강도(검거),추행(발생),추행(검거),절도(발생),절도(검거),폭력(발생),폭력(검거)
0,2018,종로구,3690,3913,6,7,3,7,236,1100,1483,969,1962,1830
1,2018,중구,4030,2679,2,2,11,11,207,115,1855,832,1955,1719
2,2018,용산구,3411,2543,1,1,3,2,331,285,1096,522,1980,1733
3,2018,성동구,2457,1787,2,2,5,8,126,102,999,487,1325,1188
4,2018,광진구,3915,2789,7,5,2,1,229,184,1769,974,1908,1625
5,2018,동대문구,3680,2968,2,2,5,4,145,112,1447,930,2081,1920
6,2018,중랑구,4288,3222,4,5,3,3,174,145,1526,876,2581,2193
7,2018,성북구,3042,2277,7,6,1,2,183,140,1164,635,1687,1494
8,2018,강북구,3437,2743,8,6,7,7,188,135,1112,603,2122,1992
9,2018,도봉구,2249,1676,1,1,5,3,113,117,781,431,1349,1124
10,2018,노원구,4007,2725,5,4,5,5,194,173,1422,585,2381,1958
11,2018,은평구,3590,2863,8,8,1,1,188,169,1278,816,2115,1869
12,2018,서대문구,2802,2016,5,4,3,3,206,189,1062,585,1526,1235
13,2018,마포구,5172,3569,6,6,6,7,473,396,2011,882,2676,2278
14,2018,양천구,3515,2459,2,3,4,14,120,111,1384,646,2005,1685
15,2018,강서구,4629,3469,11,9,6,3,269,246,1724,982,2619,2229
16,2018,구로구,4810,3338,8,8,9,9,250,181,1717,787,2826,2353
17,2018,금천구,3293,2567,6,6,7,6,200,185,1168,645,1912,1725
18,2018,영등포구,5840,3922,17,15,8,6,391,267,2292,1064,3132,2570
19,2018,동작구,3100,2090,3,3,7,7,288,154,1151,532,1651,1394
20,2018,관악구,5026,3653,9,9,10,12,352,305,2012,1025,2643,2302
21,2018,서초구,4726,3183,5,5,5,5,470,315,1851,838,2395,2020
22,2018,강남구,7513,5196,10,13,14,10,600,523,3004,1317,3885,3333
23,2018,송파구,5807,4051,5,6,6,8,309,254,2352,1034,3135,2749
24,2018,강동구,3919,2789,3,3,7,7,170,143,1515,765,2224,1871
25,2019,종로구,3846,4117,4,5,7,8,238,1143,1515,1069,2082,1892
26,2019,중구,4327,2804,2,1,6,5,195,115,2202,1050,1922,1633
27,2019,용산구,3313,2611,3,3,3,4,272,237,999,544,2036,1823
28,2019,성동구,2512,1838,6,5,9,10,133,96,970,511,1394,1216
29,2019,광진구,4011,2816,4,5,6,5,273,213,1875,1008,1853,1585
30,2019,동대문구,3692,2818,6,6,10,9,168,143,1531,827,1977,1833
31,2019,중랑구,4268,3138,10,10,4,5,138,108,1666,908,2450,2107
32,2019,성북구,2877,2323,3,3,3,3,176,130,1082,731,1613,1456
33,2019,강북구,3838,3023,6,6,3,2,176,145,1229,664,2424,2206
34,2019,도봉구,2110,1497,1,1,5,5,90,83,790,394,1224,1014
35,2019,노원구,4153,2964,4,4,3,3,184,158,1498,681,2464,2118
36,2019,은평구,3880,3000,3,3,1,1,194,162,1565,977,2117,1857
37,2019,서대문구,2943,2020,2,1,5,5,175,154,1226,600,1535,1260
38,2019,마포구,4842,3170,2,2,2,2,495,417,2190,917,2153,1832
39,2019,양천구,3214,2124,6,6,2,2,127,112,1477,634,1602,1370
40,2019,강서구,4924,3543,8,9,3,4,306,257,2050,1077,2557,2196
41,2019,구로구,4707,3291,10,9,3,4,226,165,1916,965,2552,2148
42,2019,금천구,3105,2343,6,6,10,6,153,126,1157,615,1779,1590
43,2019,영등포구,5820,3787,10,10,3,3,356,239,2409,1068,3042,2467
44,2019,동작구,3400,2195,4,2,1,1,251,110,1328,579,1816,1503
45,2019,관악구,5328,3810,13,10,10,11,408,335,2223,1085,2674,2369
46,2019,서초구,5542,3750,5,5,7,5,616,412,2270,1118,2644,2210
47,2019,강남구,7304,5069,5,3,5,6,666,562,2970,1339,3658,3159
48,2019,송파구,5698,3799,7,8,10,10,273,230,2416,1016,2992,2535
49,2019,강동구,4014,2955,6,5,15,14,180,155,1650,907,2163,1874
