,기간,구별,계
0,2018,종로구,8704
1,2018,중구,4638
2,2018,용산구,2400
3,2018,성동구,3435
4,2018,광진구,4431
5,2018,동대문구,7046
6,2018,중랑구,4146
7,2018,성북구,4959
8,2018,강북구,2875
9,2018,도봉구,2633
10,2018,노원구,6329
11,2018,은평구,4014
12,2018,서대문구,6828
13,2018,마포구,3189
14,2018,양천구,5467
15,2018,강서구,5699
16,2018,구로구,5398
17,2018,금천구,2148
18,2018,영등포구,7683
19,2018,동작구,5160
20,2018,관악구,3770
21,2018,서초구,9831
22,2018,강남구,21229
23,2018,송파구,12636
24,2018,강동구,7494
25,2019,종로구,9416
26,2019,중구,4443
27,2019,용산구,2693
28,2019,성동구,3761
29,2019,광진구,4640
30,2019,동대문구,6833
31,2019,중랑구,4440
32,2019,성북구,5253
33,2019,강북구,3095
34,2019,도봉구,2874
35,2019,노원구,6742
36,2019,은평구,4939
37,2019,서대문구,8023
38,2019,마포구,3432
39,2019,양천구,5377
40,2019,강서구,6845
41,2019,구로구,5981
42,2019,금천구,2458
43,2019,영등포구,8148
44,2019,동작구,5522
45,2019,관악구,4031
46,2019,서초구,10685
47,2019,강남구,22990
48,2019,송파구,13630
49,2019,강동구,8294
50,2020,종로구,10116
51,2020,중구,4848
52,2020,용산구,2767
53,2020,성동구,3833
54,2020,광진구,4792
55,2020,동대문구,6975
56,2020,중랑구,4766
57,2020,성북구,5662
58,2020,강북구,3368
59,2020,도봉구,2930
60,2020,노원구,7002
61,2020,은평구,5296
62,2020,서대문구,8132
63,2020,마포구,3675
64,2020,양천구,5622
65,2020,강서구,7773
66,2020,구로구,6256
67,2020,금천구,2621
68,2020,영등포구,8430
69,2020,동작구,5602
70,2020,관악구,4190
71,2020,서초구,11452
72,2020,강남구,24595
73,2020,송파구,14407
74,2020,강동구,8657
