,구별,유아,초등,중등,고등
0,종로구,0.72,0.61,0.62,0.74
1,중구,0.57,0.64,0.49,0.73
2,용산구,0.79,0.62,0.63,0.68
3,성동구,0.76,0.62,0.65,0.63
4,광진구,0.8,0.7,0.72,0.8
5,동대문구,0.69,0.68,0.66,0.72
6,중랑구,0.71,0.66,0.66,0.7
7,성북구,0.72,0.71,0.71,0.74
8,강북구,0.57,0.69,0.74,0.77
9,도봉구,0.72,0.67,0.66,0.69
10,노원구,0.68,0.68,0.7,0.75
11,은평구,0.63,0.7,0.7,0.76
12,서대문구,0.77,0.69,0.64,0.78
13,마포구,0.74,0.69,0.72,0.79
14,양천구,0.72,0.73,0.75,0.78
15,강서구,0.71,0.69,0.7,0.72
16,구로구,0.74,0.67,0.69,0.76
17,금천구,0.6,0.6,0.65,0.7
18,영등포구,0.76,0.64,0.67,0.71
19,동작구,0.72,0.72,0.71,0.77
20,관악구,0.64,0.66,0.68,0.7
21,서초구,0.74,0.8,0.76,0.8
22,강남구,0.72,0.79,0.8,0.77
23,송파구,0.78,0.7,0.72,0.75
24,강동구,0.79,0.69,0.67,0.74
