,기간,구별,원아수,학급수,학급당학생수(유아),초등학교,초등학급수,학급당학생수(초등),중학교,중등학급수,학급당학생수(중등),고등학교,고등학급수,학급당학생수(고등)
0,2018,종로구,1299,66,19.7,5507,277,19.9,2945,136,21.7,10016,373,26.9
1,2018,중구,1123,73,15.4,5226,246,21.2,1986,115,17.3,7539,291,25.9
2,2018,용산구,1574,79,19.9,7460,357,20.9,3753,169,22.2,6642,267,24.9
3,2018,성동구,2608,122,21.4,11922,585,20.4,5225,230,22.7,5939,251,23.7
4,2018,광진구,3050,137,22.3,15016,656,22.9,7564,304,24.9,8504,296,28.7
5,2018,동대문구,3162,170,18.6,13721,621,22.1,6768,296,22.9,8266,312,26.5
6,2018,중랑구,3192,162,19.7,15336,701,21.9,7216,309,23.4,7202,286,25.2
7,2018,성북구,4849,246,19.7,21564,908,23.7,10036,405,24.8,9439,360,26.2
8,2018,강북구,1692,103,16.4,10654,468,22.8,6568,252,26.1,5952,219,27.2
9,2018,도봉구,2686,143,18.8,15962,721,22.1,7197,307,23.4,7548,305,24.7
10,2018,노원구,6639,357,18.6,27558,1239,22.2,16701,669,25.0,23674,869,27.2
11,2018,은평구,3939,227,17.4,22028,933,23.6,10807,440,24.6,14157,522,27.1
12,2018,서대문구,2614,128,20.4,13027,579,22.5,6502,289,22.5,5874,210,28.0
13,2018,마포구,2782,141,19.7,15432,685,22.5,7705,312,24.7,6511,228,28.6
14,2018,양천구,4805,256,18.8,24481,1029,23.8,16319,631,25.9,14458,508,28.5
15,2018,강서구,6023,307,19.6,26949,1184,22.8,11311,461,24.5,17443,668,26.1
16,2018,구로구,3108,151,20.6,18820,827,22.8,8084,337,24.0,10382,380,27.3
17,2018,금천구,1716,103,16.7,8883,445,20.0,4400,194,22.7,4704,187,25.2
18,2018,영등포구,3707,177,20.9,13881,664,20.9,6228,265,23.5,6713,263,25.5
19,2018,동작구,3490,188,18.6,16366,687,23.8,8098,325,24.9,6743,244,27.6
20,2018,관악구,3830,206,18.6,15768,715,22.1,7734,323,23.9,10441,421,24.8
21,2018,서초구,2916,139,21.0,23182,881,26.3,11430,435,26.3,11478,397,28.9
22,2018,강남구,4026,204,19.7,24858,985,25.2,15245,560,27.2,20505,730,28.1
23,2018,송파구,6074,283,21.5,31368,1337,23.5,16697,665,25.1,17196,635,27.1
24,2018,강동구,4309,197,21.9,19831,855,23.2,9811,426,23.0,12228,463,26.4
25,2019,종로구,1217,66,18.4,5463,274,19.9,2854,135,21.1,9046,364,24.9
26,2019,중구,1122,73,15.4,5181,246,21.1,1876,114,16.5,7058,287,24.6
27,2019,용산구,1407,65,21.6,7273,358,20.3,3583,167,21.5,5996,262,22.9
28,2019,성동구,2264,117,19.4,11789,576,20.5,5010,226,22.2,5246,245,21.4
29,2019,광진구,2753,132,20.9,14977,649,23.1,7347,300,24.5,7641,287,26.6
30,2019,동대문구,3065,168,18.2,13684,619,22.1,6476,291,22.3,7349,303,24.3
31,2019,중랑구,2947,156,18.9,15176,704,21.6,6857,304,22.6,6563,279,23.5
32,2019,성북구,4535,243,18.7,21051,902,23.3,9601,400,24.0,8732,348,25.1
33,2019,강북구,1376,93,14.8,10392,461,22.5,6200,249,24.9,5542,214,25.9
34,2019,도봉구,2419,126,19.2,15561,707,22.0,6753,303,22.3,6954,298,23.3
35,2019,노원구,6203,350,17.7,26994,1213,22.3,15617,657,23.8,21313,853,25.0
36,2019,은평구,3624,223,16.3,21613,944,22.9,10352,436,23.7,13212,514,25.7
37,2019,서대문구,2439,125,19.5,12993,579,22.4,6140,283,21.7,5429,204,26.6
38,2019,마포구,2609,136,19.2,15272,671,22.8,7392,306,24.2,6161,229,26.9
39,2019,양천구,4469,234,19.1,24414,1019,24.0,15723,627,25.1,13025,497,26.2
40,2019,강서구,5683,311,18.3,27134,1200,22.6,10695,454,23.6,16016,644,24.9
41,2019,구로구,3135,164,19.1,18674,858,21.8,7892,336,23.5,9634,377,25.6
42,2019,금천구,1610,107,15.0,8880,454,19.6,4121,188,21.9,4292,182,23.6
43,2019,영등포구,3377,172,19.6,13891,666,20.9,5956,264,22.6,6145,260,23.6
44,2019,동작구,3113,163,19.1,16257,691,23.5,7754,322,24.1,6165,237,26.0
45,2019,관악구,3252,192,16.9,15246,711,21.4,7277,314,23.2,9676,410,23.6
46,2019,서초구,2655,140,19.0,23064,890,25.9,11244,434,25.9,10363,385,26.9
47,2019,강남구,3641,191,19.1,25484,985,25.9,14916,557,26.8,18514,725,25.5
48,2019,송파구,5348,264,20.3,32208,1433,22.5,16430,683,24.1,15361,618,24.9
49,2019,강동구,3746,189,19.8,19622,880,22.3,9347,420,22.3,11256,456,24.7
50,2020,종로구,1180,64,18.4,5192,269,19.3,2793,134,20.8,8467,367,23.1
51,2020,중구,1038,72,14.4,4990,243,20.5,1845,111,16.6,6731,288,23.4
52,2020,용산구,1344,65,20.7,6870,351,19.6,3512,166,21.2,5470,255,21.5
53,2020,성동구,2110,111,19.0,10992,566,19.4,4861,219,22.2,4594,239,19.2
54,2020,광진구,2470,125,19.8,14257,639,22.3,7337,295,24.9,7378,284,26.0
55,2020,동대문구,2849,161,17.7,13157,603,21.8,6459,285,22.7,6917,306,22.6
56,2020,중랑구,2700,154,17.5,14554,696,20.9,6649,300,22.2,6150,273,22.5
57,2020,성북구,4346,234,18.6,20086,888,22.6,9526,394,24.2,8272,351,23.6
58,2020,강북구,1244,90,13.8,9913,452,21.9,6139,246,25.0,5346,212,25.2
59,2020,도봉구,2252,120,18.8,14540,689,21.1,6588,295,22.3,6533,294,22.2
60,2020,노원구,5872,337,17.4,25841,1201,21.5,15205,647,23.5,20032,847,23.7
61,2020,은평구,3551,219,16.2,20400,921,22.1,10240,431,23.8,12660,518,24.4
62,2020,서대문구,2371,114,20.8,12988,582,22.3,6057,277,21.9,5099,203,25.1
63,2020,마포구,2784,143,19.5,14375,655,21.9,7474,302,24.7,5972,236,25.3
64,2020,양천구,4150,223,18.6,23985,1010,23.7,15779,619,25.5,12351,495,25.0
65,2020,강서구,5375,295,18.2,26078,1180,22.1,10682,451,23.7,14998,664,22.6
66,2020,구로구,2905,155,18.7,18180,867,21.0,8026,348,23.1,9178,376,24.4
67,2020,금천구,1550,100,15.5,8339,443,18.8,4073,180,22.6,4085,179,22.8
68,2020,영등포구,3410,178,19.2,13537,660,20.5,5922,257,23.0,5872,256,22.9
69,2020,동작구,2846,152,18.7,15553,686,22.7,7707,319,24.2,5900,237,24.9
70,2020,관악구,2991,196,15.3,14410,694,20.8,7124,308,23.1,9176,403,22.8
71,2020,서초구,2467,137,18.0,22668,880,25.8,11108,430,25.8,9804,390,25.1
72,2020,강남구,3260,181,18.0,25905,990,26.2,15602,555,28.1,17837,717,24.9
73,2020,송파구,5355,268,20.0,31373,1406,22.3,16309,668,24.4,14537,607,23.9
74,2020,강동구,4237,208,20.4,21353,990,21.6,10064,425,23.7,10957,453,24.2
