,구별,2018년,2019년,2020년,2021년,합계,총점
0,송파구,5,5,5,6,5.25,0.38
1,강남구,11,11,11,11,11.0,0.8
2,서초구,6,6,6,6,6.0,0.44
3,종로구,5,5,5,5,5.0,0.36
4,중구,3,3,3,3,3.0,0.22
5,용산구,2,2,2,2,2.0,0.15
6,성동구,2,2,2,2,2.0,0.15
7,마포구,3,3,4,4,3.5,0.25
8,광진구,2,2,2,2,2.0,0.15
9,동대문구,3,3,3,3,3.0,0.22
10,강동구,3,3,3,3,3.0,0.22
11,중랑구,3,3,3,3,3.0,0.22
12,성북구,3,3,3,3,3.0,0.22
13,강북구,4,4,4,4,4.0,0.29
14,노원구,5,5,5,5,5.0,0.36
15,양천구,4,4,4,4,4.0,0.29
16,은평구,3,3,3,3,3.0,0.22
17,서대문구,3,3,3,3,3.0,0.22
18,강서구,4,4,4,4,4.0,0.29
19,구로구,4,4,4,4,4.0,0.29
20,금천구,4,4,4,4,4.0,0.29
21,영등포구,4,4,4,4,4.0,0.29
22,동작구,4,4,4,4,4.0,0.29
23,관악구,1,1,1,1,1.0,0.07
24,도봉구,2,2,2,2,2.0,0.15
