,기간,구별,면적,1인당면적,총점
0,2018,서울시,168843.3,16.8,0.16
1,2018,종로구,11555.8,70.9,0.69
2,2018,중구,3132.0,23.1,0.23
3,2018,용산구,1795.6,7.3,0.07
4,2018,성동구,3102.1,9.8,0.1
5,2018,광진구,3363.0,9.1,0.09
6,2018,동대문구,1275.8,3.5,0.03
7,2018,중랑구,5206.3,12.8,0.12
8,2018,성북구,8342.4,18.6,0.18
9,2018,강북구,14346.7,44.4,0.43
10,2018,도봉구,10075.3,29.5,0.29
11,2018,노원구,14337.7,26.2,0.26
12,2018,은평구,13997.9,28.7,0.28
13,2018,서대문구,5136.1,15.9,0.16
14,2018,마포구,4439.9,11.5,0.11
15,2018,양천구,2909.8,6.2,0.06
16,2018,강서구,4329.3,7.2,0.07
17,2018,구로구,3327.7,7.6,0.07
18,2018,금천구,2206.2,8.7,0.08
19,2018,영등포구,3091.1,7.7,0.08
20,2018,동작구,4585.4,11.2,0.11
21,2018,관악구,10977.1,21.1,0.21
22,2018,서초구,16036.3,36.6,0.36
23,2018,강남구,6591.7,12.0,0.12
24,2018,송파구,4642.1,6.9,0.07
25,2018,강동구,3370.0,7.8,0.08
26,2019,서울시,168896.8,16.9,0.16
27,2019,종로구,11556.1,71.4,0.7
28,2019,중구,3155.1,23.1,0.23
29,2019,용산구,1779.6,7.3,0.07
30,2019,성동구,3100.0,10.0,0.1
31,2019,광진구,3363.5,9.2,0.09
32,2019,동대문구,1275.1,3.5,0.03
33,2019,중랑구,5205.3,12.9,0.13
34,2019,성북구,8329.4,18.3,0.18
35,2019,강북구,14342.3,45.1,0.44
36,2019,도봉구,10075.0,30.0,0.29
37,2019,노원구,14344.4,26.7,0.26
38,2019,은평구,13991.6,28.9,0.28
39,2019,서대문구,5143.3,15.9,0.16
40,2019,마포구,4440.0,11.5,0.11
41,2019,양천구,2912.0,6.3,0.06
42,2019,강서구,4370.3,7.3,0.07
43,2019,구로구,3336.1,7.6,0.07
44,2019,금천구,2206.2,8.8,0.09
45,2019,영등포구,3050.4,7.6,0.07
46,2019,동작구,4584.2,11.2,0.11
47,2019,관악구,10976.9,21.2,0.21
48,2019,서초구,16081.0,37.0,0.36
49,2019,강남구,6594.3,12.0,0.12
50,2019,송파구,4644.8,6.8,0.07
51,2019,강동구,3369.8,7.7,0.08
52,2020,합계,172317.39,17.39,0.17
53,2020,종로구,11402.58,71.72,0.7
54,2020,중구,3163.83,23.5,0.23
55,2020,용산구,1777.06,7.26,0.07
56,2020,성동구,3073.98,10.23,0.1
57,2020,광진구,3451.04,9.58,0.09
58,2020,동대문구,1219.25,3.42,0.03
59,2020,중랑구,4990.3,12.49,0.12
60,2020,성북구,8507.35,19.03,0.19
61,2020,강북구,14424.5,46.3,0.45
62,2020,도봉구,10160.38,31.04,0.3
63,2020,노원구,14741.81,27.97,0.27
64,2020,은평구,14365.72,29.68,0.29
65,2020,서대문구,5082.16,15.74,0.15
66,2020,마포구,4565.37,11.96,0.12
67,2020,양천구,3049.63,6.66,0.07
68,2020,강서구,4512.05,7.7,0.08
69,2020,구로구,3641.45,8.42,0.08
70,2020,금천구,2774.38,11.19,0.11
71,2020,영등포구,3009.28,7.39,0.07
72,2020,동작구,4328.74,10.78,0.11
73,2020,관악구,12431.42,24.38,0.24
74,2020,서초구,15072.56,35.13,0.34
75,2020,강남구,7768.75,14.28,0.14
76,2020,송파구,4771.42,7.08,0.07
77,2020,강동구,3362.41,7.25,0.07
