,기간,구별,인구,세대,세대당인구,연도
0,2018_3,용산구,245087,108777,2.11,2018
1,2018_3,성동구,317197,136831,2.26,2018
2,2018_3,광진구,369999,161714,2.2,2018
3,2018_3,동대문구,366101,162232,2.16,2018
4,2018_3,중랑구,409058,180044,2.25,2018
5,2018_3,성북구,449574,186744,2.35,2018
6,2018_3,강북구,324276,143172,2.24,2018
7,2018_3,도봉구,342990,137901,2.47,2018
8,2018_3,노원구,551069,217900,2.51,2018
9,2018_3,은평구,487849,203951,2.37,2018
10,2018_3,서대문구,322497,138027,2.25,2018
11,2018_3,마포구,385032,171320,2.18,2018
12,2018_3,양천구,469945,176598,2.64,2018
13,2018_3,강서구,605068,257558,2.32,2018
14,2018_3,구로구,439234,172121,2.36,2018
15,2018_3,금천구,252359,106774,2.18,2018
16,2018_3,영등포구,403724,170208,2.17,2018
17,2018_3,동작구,407925,175873,2.25,2018
18,2018_3,관악구,521685,261401,1.93,2018
19,2018_3,서초구,441539,173912,2.52,2018
20,2018_3,강남구,549255,228883,2.38,2018
21,2018_3,송파구,673582,269558,2.47,2018
22,2018_3,강동구,434992,177591,2.43,2018
23,2018_4,합계,10049607,4263868,2.29,2018
24,2018_4,종로구,163026,73735,2.08,2018
25,2018_4,중구,135633,61502,2.04,2018
26,2018_4,용산구,245090,108974,2.1,2018
27,2018_4,성동구,316463,137209,2.25,2018
28,2018_4,광진구,371063,162606,2.19,2018
29,2018_4,동대문구,364338,161820,2.15,2018
30,2018_4,중랑구,408147,180511,2.23,2018
31,2018_4,성북구,447687,186601,2.34,2018
32,2018_4,강북구,322915,143395,2.23,2018
33,2018_4,도봉구,341649,138087,2.46,2018
34,2018_4,노원구,548160,217655,2.5,2018
35,2018_4,은평구,487666,205001,2.36,2018
36,2018_4,서대문구,323080,138549,2.24,2018
37,2018_4,마포구,386359,172505,2.17,2018
38,2018_4,양천구,468145,176498,2.63,2018
39,2018_4,강서구,603611,258503,2.31,2018
40,2018_4,구로구,438486,172457,2.35,2018
41,2018_4,금천구,254021,107971,2.17,2018
42,2018_4,영등포구,403600,171085,2.15,2018
43,2018_4,동작구,409385,177176,2.24,2018
44,2018_4,관악구,520040,262222,1.91,2018
45,2018_4,서초구,438163,172918,2.51,2018
46,2018_4,강남구,547453,228775,2.37,2018
