,기간,구별,박물관 현황,박물관 현황.1,박물관 현황.2,박물관 현황.3
1,2018,합계,129,28,28,73
2,2018,종로구,37,7,3,27
3,2018,중구,16,4,1,11
4,2018,용산구,7,2,2,3
5,2018,성동구,3,2,1,-
6,2018,광진구,3,1,2,-
7,2018,동대문구,5,1,4,-
8,2018,성북구,7,-,4,3
9,2018,강북구,3,-,2,1
10,2018,도봉구,2,1,1,-
11,2018,노원구,3,1,2,-
12,2018,은평구,2,1,-,1
13,2018,서대문구,7,2,3,2
14,2018,마포구,6,1,1,4
15,2018,강서구,1,1,-,-
16,2018,구로구,1,-,-,1
17,2018,영등포구,3,1,-,2
18,2018,동작구,1,-,1,-
19,2018,관악구,2,-,1,1
20,2018,서초구,5,1,-,4
21,2018,강남구,9,1,-,8
22,2018,송파구,5,1,-,4
23,2018,강동구,1,-,-,1
24,2019,합계,128,28,28,72
25,2019,종로구,35,7,3,25
26,2019,중구,17,4,1,12
27,2019,용산구,7,2,2,3
28,2019,성동구,3,2,1,-
29,2019,광진구,3,1,2,-
30,2019,동대문구,5,1,4,-
31,2019,성북구,8,-,4,4
32,2019,강북구,3,-,2,1
33,2019,도봉구,2,1,1,-
34,2019,노원구,3,1,2,-
35,2019,은평구,2,1,-,1
36,2019,서대문구,7,2,3,2
37,2019,마포구,6,1,1,4
38,2019,강서구,2,1,-,1
39,2019,구로구,1,-,-,1
40,2019,영등포구,3,1,-,2
41,2019,동작구,1,-,1,-
42,2019,관악구,2,-,1,1
43,2019,서초구,4,1,-,3
44,2019,강남구,8,1,-,7
45,2019,송파구,5,1,-,4
46,2019,강동구,1,-,-,1
47,2020,합계,128,28,28,72
48,2020,종로구,35,7,3,25
49,2020,중구,17,4,1,12
50,2020,용산구,7,2,2,3
51,2020,성동구,3,2,1,-
52,2020,광진구,3,1,2,-
53,2020,동대문구,5,1,4,-
54,2020,성북구,8,-,4,4
55,2020,강북구,3,-,2,1
56,2020,도봉구,2,1,1,-
57,2020,노원구,3,1,2,-
58,2020,은평구,2,1,-,1
59,2020,서대문구,7,2,3,2
60,2020,마포구,6,1,1,4
61,2020,강서구,2,1,-,1
62,2020,구로구,1,-,-,1
63,2020,영등포구,3,1,-,2
64,2020,동작구,1,-,1,-
65,2020,관악구,2,-,1,1
66,2020,서초구,4,1,-,3
67,2020,강남구,8,1,-,7
68,2020,송파구,5,1,-,4
69,2020,강동구,1,-,-,1
