,기간,구별,자동차 등록 합계
1,2018.07,서울시,3121497
2,2018.07,종로구,50723
3,2018.07,중구,52193
4,2018.07,용산구,77147
5,2018.07,성동구,105206
6,2018.07,광진구,98845
7,2018.07,동대문구,97884
8,2018.07,중랑구,114150
9,2018.07,성북구,116806
10,2018.07,강북구,77727
11,2018.07,도봉구,97424
12,2018.07,노원구,154188
13,2018.07,은평구,129478
14,2018.07,서대문구,86299
15,2018.07,마포구,117229
16,2018.07,양천구,150713
17,2018.07,강서구,203823
18,2018.07,구로구,144943
19,2018.07,금천구,86409
20,2018.07,영등포구,144971
21,2018.07,동작구,105087
22,2018.07,관악구,121977
23,2018.07,서초구,182034
24,2018.07,강남구,234668
25,2018.07,송파구,234999
26,2018.07,강동구,136574
28,2018.08,서울시,3121532
29,2018.08,종로구,50736
30,2018.08,중구,52108
31,2018.08,용산구,77229
32,2018.08,성동구,105267
33,2018.08,광진구,99227
34,2018.08,동대문구,98222
35,2018.08,중랑구,114106
36,2018.08,성북구,116737
37,2018.08,강북구,77574
38,2018.08,도봉구,97430
39,2018.08,노원구,154029
40,2018.08,은평구,129502
41,2018.08,서대문구,86366
42,2018.08,마포구,117398
43,2018.08,양천구,150715
44,2018.08,강서구,203403
45,2018.08,구로구,144833
46,2018.08,금천구,86395
47,2018.08,영등포구,144656
48,2018.08,동작구,105200
49,2018.08,관악구,122023
50,2018.08,서초구,182201
51,2018.08,강남구,234405
52,2018.08,송파구,235371
53,2018.08,강동구,136399
55,2018.09,서울시,3123924
56,2018.09,종로구,50683
57,2018.09,중구,52074
58,2018.09,용산구,77318
59,2018.09,성동구,105514
60,2018.09,광진구,99694
61,2018.09,동대문구,98341
62,2018.09,중랑구,114144
63,2018.09,성북구,116757
64,2018.09,강북구,77532
65,2018.09,도봉구,97457
66,2018.09,노원구,154046
67,2018.09,은평구,129528
68,2018.09,서대문구,86427
69,2018.09,마포구,117507
70,2018.09,양천구,150796
71,2018.09,강서구,203332
72,2018.09,구로구,144883
73,2018.09,금천구,86514
74,2018.09,영등포구,144330
75,2018.09,동작구,105322
76,2018.09,관악구,122093
77,2018.09,서초구,182332
78,2018.09,강남구,235288
79,2018.09,송파구,235703
80,2018.09,강동구,136309
82,2018.1,서울시,3123896
83,2018.1,종로구,50747
84,2018.1,중구,52037
85,2018.1,용산구,77456
86,2018.1,성동구,105282
87,2018.1,광진구,100029
88,2018.1,동대문구,98492
89,2018.1,중랑구,114103
90,2018.1,성북구,116551
91,2018.1,강북구,77495
92,2018.1,도봉구,97444
93,2018.1,노원구,153934
94,2018.1,은평구,129658
95,2018.1,서대문구,86406
96,2018.1,마포구,117766
97,2018.1,양천구,150747
