,기간,구별,원아수,학급수,학급당원아수,초등학교,학급수,학급당학생수,중학교,학급수,학급당학생수,고등학교,학급수,학급당학생수
0,2018,종로구,"1,299",66,19.7,"5,507",277,19.9,"2,945",136,21.7,"10,016",373,26.9
1,2018,중구,"1,123",73,15.4,"5,226",246,21.2,"1,986",115,17.3,"7,539",291,25.9
2,2018,용산구,"1,574",79,19.9,"7,460",357,20.9,"3,753",169,22.2,"6,642",267,24.9
3,2018,성동구,"2,608",122,21.4,"11,922",585,20.4,"5,225",230,22.7,"5,939",251,23.7
4,2018,광진구,"3,050",137,22.3,"15,016",656,22.9,"7,564",304,24.9,"8,504",296,28.7
5,2018,동대문구,"3,162",170,18.6,"13,721",621,22.1,"6,768",296,22.9,"8,266",312,26.5
6,2018,중랑구,"3,192",162,19.7,"15,336",701,21.9,"7,216",309,23.4,"7,202",286,25.2
7,2018,성북구,"4,849",246,19.7,"21,564",908,23.7,"10,036",405,24.8,"9,439",360,26.2
8,2018,강북구,"1,692",103,16.4,"10,654",468,22.8,"6,568",252,26.1,"5,952",219,27.2
9,2018,도봉구,"2,686",143,18.8,"15,962",721,22.1,"7,197",307,23.4,"7,548",305,24.7
10,2018,노원구,"6,639",357,18.6,"27,558","1,239",22.2,"16,701",669,25,"23,674",869,27.2
11,2018,은평구,"3,939",227,17.4,"22,028",933,23.6,"10,807",440,24.6,"14,157",522,27.1
12,2018,서대문구,"2,614",128,20.4,"13,027",579,22.5,"6,502",289,22.5,"5,874",210,28
13,2018,마포구,"2,782",141,19.7,"15,432",685,22.5,"7,705",312,24.7,"6,511",228,28.6
14,2018,양천구,"4,805",256,18.8,"24,481","1,029",23.8,"16,319",631,25.9,"14,458",508,28.5
15,2018,강서구,"6,023",307,19.6,"26,949","1,184",22.8,"11,311",461,24.5,"17,443",668,26.1
16,2018,구로구,"3,108",151,20.6,"18,820",827,22.8,"8,084",337,24,"10,382",380,27.3
17,2018,금천구,"1,716",103,16.7,"8,883",445,20,"4,400",194,22.7,"4,704",187,25.2
18,2018,영등포구,"3,707",177,20.9,"13,881",664,20.9,"6,228",265,23.5,"6,713",263,25.5
19,2018,동작구,"3,490",188,18.6,"16,366",687,23.8,"8,098",325,24.9,"6,743",244,27.6
20,2018,관악구,"3,830",206,18.6,"15,768",715,22.1,"7,734",323,23.9,"10,441",421,24.8
21,2018,서초구,"2,916",139,21,"23,182",881,26.3,"11,430",435,26.3,"11,478",397,28.9
22,2018,강남구,"4,026",204,19.7,"24,858",985,25.2,"15,245",560,27.2,"20,505",730,28.1
23,2018,송파구,"6,074",283,21.5,"31,368","1,337",23.5,"16,697",665,25.1,"17,196",635,27.1
24,2018,강동구,"4,309",197,21.9,"19,831",855,23.2,"9,811",426,23,"12,228",463,26.4
25,2019,종로구,"1,217",66,18.4,"5,463",274,19.9,"2,854",135,21.1,"9,046",364,24.9
26,2019,중구,"1,122",73,15.4,"5,181",246,21.1,"1,876",114,16.5,"7,058",287,24.6
27,2019,용산구,"1,407",65,21.6,"7,273",358,20.3,"3,583",167,21.5,"5,996",262,22.9
28,2019,성동구,"2,264",117,19.4,"11,789",576,20.5,"5,010",226,22.2,"5,246",245,21.4
29,2019,광진구,"2,753",132,20.9,"14,977",649,23.1,"7,347",300,24.5,"7,641",287,26.6
30,2019,동대문구,"3,065",168,18.2,"13,684",619,22.1,"6,476",291,22.3,"7,349",303,24.3
31,2019,중랑구,"2,947",156,18.9,"15,176",704,21.6,"6,857",304,22.6,"6,563",279,23.5
32,2019,성북구,"4,535",243,18.7,"21,051",902,23.3,"9,601",400,24,"8,732",348,25.1
33,2019,강북구,"1,376",93,14.8,"10,392",461,22.5,"6,200",249,24.9,"5,542",214,25.9
34,2019,도봉구,"2,419",126,19.2,"15,561",707,22,"6,753",303,22.3,"6,954",298,23.3
35,2019,노원구,"6,203",350,17.7,"26,994","1,213",22.3,"15,617",657,23.8,"21,313",853,25
36,2019,은평구,"3,624",223,16.3,"21,613",944,22.9,"10,352",436,23.7,"13,212",514,25.7
37,2019,서대문구,"2,439",125,19.5,"12,993",579,22.4,"6,140",283,21.7,"5,429",204,26.6
38,2019,마포구,"2,609",136,19.2,"15,272",671,22.8,"7,392",306,24.2,"6,161",229,26.9
39,2019,양천구,"4,469",234,19.1,"24,414","1,019",24,"15,723",627,25.1,"13,025",497,26.2
40,2019,강서구,"5,683",311,18.3,"27,134","1,200",22.6,"10,695",454,23.6,"16,016",644,24.9
41,2019,구로구,"3,135",164,19.1,"18,674",858,21.8,"7,892",336,23.5,"9,634",377,25.6
42,2019,금천구,"1,610",107,15,"8,880",454,19.6,"4,121",188,21.9,"4,292",182,23.6
43,2019,영등포구,"3,377",172,19.6,"13,891",666,20.9,"5,956",264,22.6,"6,145",260,23.6
44,2019,동작구,"3,113",163,19.1,"16,257",691,23.5,"7,754",322,24.1,"6,165",237,26
45,2019,관악구,"3,252",192,16.9,"15,246",711,21.4,"7,277",314,23.2,"9,676",410,23.6
46,2019,서초구,"2,655",140,19,"23,064",890,25.9,"11,244",434,25.9,"10,363",385,26.9
47,2019,강남구,"3,641",191,19.1,"25,484",985,25.9,"14,916",557,26.8,"18,514",725,25.5
48,2019,송파구,"5,348",264,20.3,"32,208","1,433",22.5,"16,430",683,24.1,"15,361",618,24.9
49,2019,강동구,"3,746",189,19.8,"19,622",880,22.3,"9,347",420,22.3,"11,256",456,24.7
50,2020,종로구,"1,180",64,18.4,"5,192",269,19.3,"2,793",134,20.8,"8,467",367,23.1
51,2020,중구,"1,038",72,14.4,"4,990",243,20.5,"1,845",111,16.6,"6,731",288,23.4
52,2020,용산구,"1,344",65,20.7,"6,870",351,19.6,"3,512",166,21.2,"5,470",255,21.5
53,2020,성동구,"2,110",111,19,"10,992",566,19.4,"4,861",219,22.2,"4,594",239,19.2
54,2020,광진구,"2,470",125,19.8,"14,257",639,22.3,"7,337",295,24.9,"7,378",284,26
55,2020,동대문구,"2,849",161,17.7,"13,157",603,21.8,"6,459",285,22.7,"6,917",306,22.6
56,2020,중랑구,"2,700",154,17.5,"14,554",696,20.9,"6,649",300,22.2,"6,150",273,22.5
57,2020,성북구,"4,346",234,18.6,"20,086",888,22.6,"9,526",394,24.2,"8,272",351,23.6
58,2020,강북구,"1,244",90,13.8,"9,913",452,21.9,"6,139",246,25,"5,346",212,25.2
59,2020,도봉구,"2,252",120,18.8,"14,540",689,21.1,"6,588",295,22.3,"6,533",294,22.2
60,2020,노원구,"5,872",337,17.4,"25,841","1,201",21.5,"15,205",647,23.5,"20,032",847,23.7
61,2020,은평구,"3,551",219,16.2,"20,400",921,22.1,"10,240",431,23.8,"12,660",518,24.4
62,2020,서대문구,"2,371",114,20.8,"12,988",582,22.3,"6,057",277,21.9,"5,099",203,25.1
63,2020,마포구,"2,784",143,19.5,"14,375",655,21.9,"7,474",302,24.7,"5,972",236,25.3
64,2020,양천구,"4,150",223,18.6,"23,985","1,010",23.7,"15,779",619,25.5,"12,351",495,25
65,2020,강서구,"5,375",295,18.2,"26,078","1,180",22.1,"10,682",451,23.7,"14,998",664,22.6
66,2020,구로구,"2,905",155,18.7,"18,180",867,21,"8,026",348,23.1,"9,178",376,24.4
67,2020,금천구,"1,550",100,15.5,"8,339",443,18.8,"4,073",180,22.6,"4,085",179,22.8
68,2020,영등포구,"3,410",178,19.2,"13,537",660,20.5,"5,922",257,23,"5,872",256,22.9
69,2020,동작구,"2,846",152,18.7,"15,553",686,22.7,"7,707",319,24.2,"5,900",237,24.9
70,2020,관악구,"2,991",196,15.3,"14,410",694,20.8,"7,124",308,23.1,"9,176",403,22.8
71,2020,서초구,"2,467",137,18,"22,668",880,25.8,"11,108",430,25.8,"9,804",390,25.1
72,2020,강남구,"3,260",181,18,"25,905",990,26.2,"15,602",555,28.1,"17,837",717,24.9
73,2020,송파구,"5,355",268,20,"31,373","1,406",22.3,"16,309",668,24.4,"14,537",607,23.9
74,2020,강동구,"4,237",208,20.4,"21,353",990,21.6,"10,064",425,23.7,"10,957",453,24.2
