,기간,구별,학교수,학급수,계,남자,여자,계,남자,여자,계,남자,여자,졸업자수,진학자수,입학자수,교지면적,건물면적,교실수
0,2018,종로구,13,277,"5,507","2,844","2,663",446,61,385,56,27,29,904,903,861,114,98,374
1,2018,중구,12,246,"5,226","2,557","2,669",398,63,335,73,38,35,832,832,897,117,99,394
2,2018,용산구,15,357,"7,460","3,833","3,627",578,68,510,67,28,39,"1,211","1,210","1,225",188,117,506
3,2018,성동구,21,585,"11,922","6,068","5,854",972,124,848,112,55,57,"1,855","1,855","2,109",201,234,868
4,2018,광진구,22,656,"15,016","7,669","7,347","1,020",138,882,118,59,59,"2,364","2,363","2,494",218,206,932
5,2018,동대문구,21,621,"13,721","7,093","6,628",968,117,851,114,60,54,"2,132","2,130","2,309",278,209,897
6,2018,중랑구,23,701,"15,336","7,847","7,489","1,070",164,906,115,53,62,"2,361","2,361","2,656",266,273,973
7,2018,성북구,29,908,"21,564","11,091","10,473","1,405",225,"1,180",150,63,87,"3,380","3,379","3,596",333,302,"1,261"
8,2018,강북구,14,468,"10,654","5,434","5,220",736,141,595,79,33,46,"1,827","1,827","1,754",179,161,626
9,2018,도봉구,23,721,"15,962","8,250","7,712","1,041",188,853,111,52,59,"2,492","2,492","2,595",279,219,"1,009"
10,2018,노원구,42,"1,239","27,558","14,096","13,462","1,851",354,"1,497",220,103,117,"4,893","4,892","4,242",484,366,"1,722"
11,2018,은평구,30,933,"22,028","11,388","10,640","1,428",187,"1,241",145,63,82,"3,438","3,437","3,630",395,299,"1,259"
12,2018,서대문구,19,579,"13,027","6,618","6,409",910,112,798,103,50,53,"2,109","2,109","2,162",221,196,783
13,2018,마포구,22,685,"15,432","7,851","7,581","1,098",125,973,111,44,67,"2,445","2,443","2,462",239,214,899
14,2018,양천구,30,"1,029","24,481","12,664","11,817","1,526",173,"1,353",153,61,92,"4,357","4,356","3,739",355,290,"1,328"
15,2018,강서구,36,"1,184","26,949","13,868","13,081","1,768",230,"1,538",182,78,104,"4,116","4,116","4,826",424,347,"1,467"
16,2018,구로구,24,827,"18,820","9,557","9,263","1,297",166,"1,131",119,51,68,"2,710","2,710","3,327",308,233,"1,063"
17,2018,금천구,18,445,"8,883","4,534","4,349",712,106,606,81,36,45,"1,391","1,391","1,566",202,157,603
18,2018,영등포구,23,664,"13,881","7,132","6,749","1,081",141,940,113,44,69,"2,129","2,129","2,448",300,217,930
19,2018,동작구,21,687,"16,366","8,460","7,906","1,094",142,952,110,55,55,"2,589","2,589","2,811",259,213,897
20,2018,관악구,22,715,"15,768","8,130","7,638","1,147",157,990,102,42,60,"2,572","2,572","2,695",279,226,995
21,2018,서초구,24,881,"23,182","11,835","11,347","1,369",116,"1,253",125,45,80,"3,536","3,533","3,863",304,212,"1,027"
22,2018,강남구,33,985,"24,858","12,992","11,866","1,610",128,"1,482",160,55,105,"4,203","4,200","3,970",443,365,"1,330"
23,2018,송파구,39,"1,337","31,368","16,179","15,189","2,133",207,"1,926",194,74,120,"5,019","5,016","5,221",464,382,"1,673"
24,2018,강동구,27,855,"19,831","10,474","9,357","1,334",158,"1,176",112,44,68,"2,877","2,877","3,228",361,256,"1,226"
25,2019,종로구,13,274,"5,463","2,790","2,673",439,64,375,53,21,32,961,961,946,106,100,370
26,2019,중구,12,246,"5,181","2,544","2,637",401,59,342,74,34,40,812,812,925,125,98,390
27,2019,용산구,15,358,"7,273","3,726","3,547",580,64,516,68,26,42,"1,160","1,160","1,260",195,117,501
28,2019,성동구,21,576,"11,789","5,950","5,839",936,124,812,118,54,64,"1,808","1,807","2,152",195,236,862
29,2019,광진구,22,649,"14,977","7,707","7,270","1,018",139,879,117,54,63,"2,545","2,544","2,603",217,206,929
30,2019,동대문구,21,619,"13,684","7,086","6,598",937,118,819,117,59,58,"2,196","2,195","2,325",277,213,903
31,2019,중랑구,23,704,"15,176","7,764","7,412","1,071",173,898,114,50,64,"2,469","2,469","2,722",266,273,984
32,2019,성북구,29,902,"21,051","10,833","10,218","1,391",220,"1,171",152,59,93,"3,492","3,491","3,542",333,302,"1,242"
33,2019,강북구,14,461,"10,392","5,285","5,107",708,128,580,80,36,44,"1,788","1,788","1,713",179,161,624
34,2019,도봉구,23,707,"15,561","8,011","7,550","1,023",192,831,111,57,54,"2,621","2,621","2,608",279,221,999
35,2019,노원구,42,"1,213","26,994","13,778","13,216","1,788",341,"1,447",222,101,121,"4,833","4,833","4,326",485,369,"1,705"
36,2019,은평구,31,944,"21,613","11,144","10,469","1,411",189,"1,222",146,62,84,"3,687","3,676","3,686",402,312,"1,298"
37,2019,서대문구,19,579,"12,993","6,569","6,424",890,105,785,102,45,57,"2,187","2,187","2,246",221,198,781
38,2019,마포구,22,671,"15,272","7,773","7,499","1,086",122,964,108,44,64,"2,477","2,477","2,561",237,215,891
39,2019,양천구,30,"1,019","24,414","12,643","11,771","1,533",178,"1,355",147,53,94,"4,351","4,351","3,741",355,290,"1,328"
40,2019,강서구,36,"1,200","27,134","13,964","13,170","1,781",232,"1,549",183,74,109,"4,203","4,199","4,976",424,349,"1,467"
41,2019,구로구,26,858,"18,674","9,381","9,293","1,330",173,"1,157",128,61,67,"2,799","2,799","3,310",328,263,"1,167"
42,2019,금천구,18,454,"8,880","4,543","4,337",698,108,590,83,33,50,"1,405","1,405","1,663",200,164,629
43,2019,영등포구,23,666,"13,891","7,084","6,807","1,057",131,926,111,38,73,"2,148","2,148","2,570",300,217,918
44,2019,동작구,21,691,"16,257","8,380","7,877","1,060",140,920,107,48,59,"2,615","2,615","2,803",259,214,899
45,2019,관악구,22,711,"15,246","7,838","7,408","1,105",145,960,103,41,62,"2,506","2,506","2,595",276,226,973
46,2019,서초구,24,890,"23,064","11,840","11,224","1,367",116,"1,251",121,42,79,"3,769","3,769","3,844",304,218,"1,035"
47,2019,강남구,33,985,"25,484","13,336","12,148","1,593",124,"1,469",155,49,106,"4,391","4,388","4,104",428,354,"1,274"
48,2019,송파구,40,"1,433","32,208","16,516","15,692","2,195",202,"1,993",196,72,124,"5,191","5,191","5,654",468,390,"1,740"
49,2019,강동구,27,880,"19,622","10,331","9,291","1,329",157,"1,172",112,42,70,"3,250","3,249","3,296",309,231,"1,093"
50,2020,종로구,13,269,"5,192","2,634","2,558",452,62,390,51,19,32,988,988,764,106,100,379
51,2020,중구,12,243,"4,990","2,468","2,522",393,63,330,72,33,39,878,876,901,125,98,386
52,2020,용산구,15,351,"6,870","3,498","3,372",568,61,507,66,25,41,"1,301","1,299","1,087",195,117,512
53,2020,성동구,21,566,"10,992","5,590","5,402",919,117,802,109,47,62,"1,992","1,992","1,926",195,236,853
54,2020,광진구,22,639,"14,257","7,322","6,935",998,144,854,112,52,60,"2,615","2,611","2,250",217,206,904
55,2020,동대문구,21,603,"13,157","6,809","6,348",932,124,808,117,57,60,"2,333","2,332","2,127",273,214,900
56,2020,중랑구,23,696,"14,554","7,440","7,114","1,067",173,894,112,46,66,"2,486","2,485","2,377",272,276,987
57,2020,성북구,29,888,"20,086","10,255","9,831","1,359",217,"1,142",153,61,92,"3,717","3,713","3,145",332,302,"1,236"
58,2020,강북구,14,452,"9,913","5,066","4,847",703,129,574,79,33,46,"1,870","1,870","1,528",179,161,623
59,2020,도봉구,23,689,"14,540","7,474","7,066","1,012",199,813,108,54,54,"2,822","2,822","2,247",279,221,996
