기간,자치구별,계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장
2018,서울시,"6,008","1,481",27,106,"1,734","2,369",33,258
2018,종로구,78,33,2,3,9,4,-,27
2018,중구,69,23,-,7,7,13,-,19
2018,용산구,125,31,2,9,24,48,1,10
2018,성동구,187,77,-,3,36,64,-,7
2018,광진구,199,43,-,1,92,58,2,3
2018,동대문구,224,70,-,3,58,84,-,9
2018,중랑구,241,46,-,4,95,94,-,2
2018,성북구,275,80,2,17,73,95,2,6
2018,강북구,165,51,1,3,66,41,1,2
2018,도봉구,243,50,1,2,75,112,1,2
2018,노원구,453,72,4,-,59,310,1,7
2018,은평구,278,56,1,7,142,69,1,2
2018,서대문구,153,52,-,3,45,47,1,5
2018,마포구,210,68,-,5,45,76,4,12
2018,양천구,317,75,-,2,69,163,1,7
2018,강서구,441,74,2,2,141,206,3,13
2018,구로구,332,71,3,8,89,146,6,9
2018,금천구,165,50,1,10,48,48,1,7
2018,영등포구,257,65,2,1,63,95,-,31
2018,동작구,225,58,3,2,69,85,1,7
2018,관악구,270,72,1,6,85,100,1,5
2018,서초구,200,74,-,1,41,63,2,19
2018,강남구,221,54,-,-,70,69,1,27
2018,송파구,408,72,1,5,137,176,2,15
2018,강동구,272,64,1,2,96,103,1,5
2019,서울시,"5,698","1,661",28,101,"1,512","2,098",33,265
2019,종로구,77,34,2,3,8,4,-,26
2019,중구,69,24,-,7,6,11,-,21
2019,용산구,119,31,2,8,20,47,1,10
2019,성동구,179,78,-,3,30,61,-,7
2019,광진구,188,49,-,1,81,53,1,3
2019,동대문구,215,75,-,3,52,76,-,9
2019,중랑구,230,55,-,5,84,82,1,3
2019,성북구,267,86,2,14,63,93,3,6
2019,강북구,153,61,1,2,57,29,1,2
2019,도봉구,229,63,1,2,66,94,1,2
2019,노원구,405,91,5,-,47,254,1,7
2019,은평구,263,71,-,9,120,59,1,3
2019,서대문구,149,58,-,2,43,40,1,5
2019,마포구,209,71,-,5,43,72,4,14
2019,양천구,299,80,-,2,58,151,1,7
2019,강서구,409,83,2,3,125,178,4,14
2019,구로구,318,85,3,6,79,131,5,9
2019,금천구,157,54,1,10,43,42,-,7
2019,영등포구,248,72,2,2,56,83,-,33
2019,동작구,219,63,3,2,62,81,1,7
2019,관악구,251,82,2,6,73,83,1,4
2019,서초구,189,79,-,1,36,52,2,19
2019,강남구,201,59,-,-,56,58,1,27
2019,송파구,395,88,1,3,122,164,2,15
2019,강동구,260,69,1,2,82,100,1,5
2020,서울시,"5,370","1,749",27,92,"1,326","1,857",31,288
2020,종로구,74,33,2,1,8,3,-,27
2020,중구,67,23,-,7,3,12,-,22
2020,용산구,116,33,2,7,19,42,1,12
2020,성동구,173,81,-,3,25,56,-,8
2020,광진구,176,52,-,-,68,51,1,4
2020,동대문구,201,76,-,3,48,65,-,9
2020,중랑구,220,60,-,4,79,73,1,3
2020,성북구,246,88,2,14,56,79,2,5
2020,강북구,144,62,1,2,51,24,2,2
2020,도봉구,210,63,1,2,60,80,1,3
2020,노원구,364,93,5,-,42,216,1,7
2020,은평구,246,78,-,9,102,52,1,4
2020,서대문구,143,61,-,2,38,36,1,5
2020,마포구,204,78,-,4,35,66,4,17
2020,양천구,281,82,-,1,53,136,1,8
2020,강서구,373,90,2,3,103,156,4,15
2020,구로구,299,92,3,5,68,119,4,8
2020,금천구,150,54,1,10,40,38,-,7
2020,영등포구,240,78,2,2,48,76,-,34
2020,동작구,206,67,2,2,50,76,1,8
2020,관악구,221,84,2,5,59,65,1,5
2020,서초구,184,83,-,1,31,46,2,21
2020,강남구,199,60,-,-,52,54,1,32
2020,송파구,373,99,1,3,110,142,1,17
2020,강동구,260,79,1,2,78,94,1,5
