연번,역번호,호선,역명,역주소,위도,경도
1,150,1,서울역,서울특별시 중구 세종대로 지하 2 (남대문로 5가),126.9725546,37.55715948
2,151,1,시청,서울특별시 중구 세종대로 지하 101 (정동),126.9769832,37.56543852
3,152,1,종각,서울특별시 종로구 종로 지하 55 (종로1가),126.9832397,37.57021404
4,153,1,종로3가,서울특별시 종로구 종로 지하 129 (종로3가),126.9920293,37.5704266
5,154,1,종로5가,서울특별시 종로구 종로 지하 216  (종로5가),127.0019166,37.57090754
6,155,1,동대문,서울특별시 종로구 종로 지하 302 (창신동),127.0111671,37.57177757
7,156,1,신설동,서울특별시 동대문구 왕산로 지하 1 (신설동),127.0247019,37.57531948
8,157,1,제기동,서울특별시 동대문구 왕산로 지하 93 (제기동),127.0346906,37.57819673
9,158,1,청량리,서울특별시 동대문구 왕산로 지하 205(전농동),127.0450859,37.58023316
10,159,1,동묘앞,서울특별시 종로구 종로 359 (숭인동),127.0167512,37.57337221
11,200,2,까치산,서울특별시 강서구 강서로 지하54 (화곡동),126.8466116,37.53195608
12,201,2,시청,서울특별시 중구 세종대로 지하 101 (정동),126.9769832,37.56543852
13,202,2,을지로입구,서울특별시 중구 을지로 지하 42 (을지로1가),126.9823729,37.56605095
14,203,2,을지로3가,서울특별시 중구 을지로 지하 106 (을지로3가),126.9903084,37.56626595
15,204,2,을지로4가,서울특별시 중구 을지로 지하 178 (을지로4가),126.9978528,37.56663699
16,205,2,동대문역사문화공원,서울특별시 중구 을지로 지하 279 (을지로7가),127.0091315,37.56558952
17,206,2,신당,서울특별시 중구 퇴계로 지하 431-1 (신당동),127.0195406,37.56565403
18,207,2,상왕십리,서울특별시 성동구 왕십리로 지하 374 (하왕십리동),127.0290312,37.56446871
19,208,2,왕십리,서울특별시 성동구 왕십리로 지하300 (행당동),127.0366554,37.56122174
20,209,2,한양대,서울특별시 성동구 왕십리로 206 (행당동),127.0435845,37.55557788
21,210,2,뚝섬,서울특별시 성동구 아차산로 18 (성수동1가),127.0473652,37.54718822
22,211,2,성수,서울특별시 성동구 아차산로 100 (성수동2가),127.0560905,37.5445024
23,212,2,건대입구,서울특별시 광진구 아차산로 243 (화양동),127.0691733,37.54041889
24,213,2,구의,서울특별시 광진구 아차산로 384-1 (구의동),127.0861792,37.53715356
25,214,2,강변,서울특별시 광진구 강변역로 53 (구의동),127.0946646,37.53516928
