기간,자치구,학교수,학급수,학생수,학생수,학생수,교원수,교원수,사무직원수,사무직원수,졸업자현황,졸업자현황,입학자현황,입학자현황,교지면적,건물면적,교실수
기간,자치구,학교수,학급수,계,남자,여자,계,여자,계,여자,졸업자수,진학자수,입학정원수,입학자수,교지면적,건물면적,교실수
2018,합계,76,"2,375","60,356","30,974","29,382","5,418","3,734",470,246,"23,084","13,375","17,369","17,063","1,405","1,092","3,646"
2018,국립,1,28,812,396,416,68,42,5,2,297,188,234,234,0,26,84
2018,공립,75,"2,347","59,544","30,578","28,966","5,350","3,692",465,244,"22,787","13,187","17,135","16,829","1,405","1,066","3,562"
2018,종로구,1,37,"1,004","1,004",-,90,63,9,4,396,239,295,260,48,22,68
2018,용산구,1,43,"1,192","1,192",-,98,63,8,4,463,257,373,369,36,18,53
2018,성동구,4,97,"2,190",549,"1,641",215,150,26,15,700,450,740,726,67,49,166
2018,광진구,2,81,"2,267","1,232","1,035",180,122,13,5,926,513,602,602,32,33,126
2018,동대문구,1,24,507,303,204,58,39,5,2,190,110,143,143,13,10,37
2018,중랑구,3,88,"2,187","1,191",996,196,135,16,9,876,572,603,612,45,39,152
2018,성북구,2,56,"1,552",740,812,136,87,12,5,561,349,432,432,19,39,132
2018,강북구,2,61,"1,477",388,"1,089",147,111,13,4,562,340,403,405,25,28,97
2018,도봉구,5,148,"3,476","1,886","1,590",339,205,32,17,"1,220",798,"1,024",963,74,71,227
2018,노원구,4,132,"3,382","2,287","1,095",297,191,27,13,"1,335",807,931,931,54,54,199
2018,은평구,3,85,"2,063","1,041","1,022",186,116,17,11,792,468,583,589,44,39,124
2018,서대문구,1,27,719,334,385,60,47,6,2,239,126,238,225,7,13,36
2018,양천구,3,99,"2,802","1,021","1,781",228,162,14,7,"1,099",595,806,806,53,40,123
2018,강서구,3,81,"1,836",885,951,189,125,15,9,743,446,545,545,41,42,127
2018,구로구,4,134,"3,857","1,986","1,871",300,202,22,11,"1,456",958,"1,057","1,077",61,52,199
2018,금천구,1,28,668,354,314,67,48,6,4,270,186,190,190,20,17,40
2018,영등포구,6,182,"4,381","1,991","2,390",412,300,34,19,"1,720","1,025","1,202","1,193",87,79,264
2018,동작구,3,92,"2,385",941,"1,444",211,141,20,9,854,555,716,715,72,46,135
2018,관악구,4,100,"2,347","1,128","1,219",224,166,25,13,870,558,711,692,66,51,175
2018,서초구,5,179,"5,115","3,300","1,815",424,305,34,17,"1,873",903,"1,520","1,515",136,82,266
2018,강남구,5,187,"4,917","2,337","2,580",437,315,37,16,"2,135",908,"1,339","1,291",192,89,270
2018,송파구,9,295,"7,435","3,754","3,681",665,467,55,34,"2,842","1,661","2,144","2,029",152,126,440
2018,강동구,4,119,"2,597","1,130","1,467",259,174,24,16,962,551,772,753,61,52,190
2019,합계,76,"2,320","54,296","27,799","26,497","5,333","3,755",459,241,"23,281","13,532","17,736","17,578","1,405","1,093","3,635"
2019,국립,1,27,763,371,392,71,42,5,3,299,192,247,247,0,26,84
2019,공립,75,"2,293","53,533","27,428","26,105","5,262","3,713",454,238,"22,982","13,340","17,489","17,331","1,405","1,067","3,551"
2019,종로구,1,36,834,834,-,84,60,9,4,402,219,207,237,48,22,68
2019,용산구,1,43,"1,097","1,097",-,93,60,7,3,441,262,357,353,36,18,53
2019,성동구,4,109,"2,184",588,"1,596",250,178,26,14,664,408,676,667,67,49,166
2019,광진구,2,79,"1,966","1,070",896,180,127,12,5,940,449,656,656,32,33,126
2019,동대문구,1,23,449,257,192,56,39,5,3,187,127,138,138,13,10,37
2019,중랑구,3,84,"1,956","1,033",923,187,132,16,8,864,568,634,634,45,39,152
2019,성북구,2,54,"1,480",685,795,139,82,11,5,567,365,486,486,19,39,132
