기간,자치구,학교수,학급수,학생수,학생수,학생수,교원수,교원수,사무직원수,사무직원수,졸업자현황,졸업자현황,입학자현황,교지면적,건물면적,교실수
기간,자치구,학교수,학급수,계,남자,여자,계,여자,계,여자,졸업자수,진학자수,입학자수,교지면적,건물면적,계
2018,합계,276,"6,658","163,921","86,282","77,639","13,467","10,220",874,406,"56,476","56,356","50,638","3,761","2,786","10,746"
2018,국립,2,44,"1,131",687,444,104,64,9,4,406,406,340,25,22,97
2018,공립,274,"6,614","162,790","85,595","77,195","13,363","10,156",865,402,"56,070","55,950","50,298","3,737","2,764","10,649"
2018,종로구,2,40,930,486,444,94,67,7,4,320,319,263,30,20,88
2018,중구,4,61,"1,060",84,976,135,101,9,5,388,388,333,58,35,107
2018,용산구,4,94,"2,114","1,243",871,198,152,12,5,731,729,698,73,40,139
2018,성동구,10,206,"4,735","2,378","2,357",426,333,26,11,"1,667","1,667","1,483",120,102,350
2018,광진구,9,240,"6,003","3,242","2,761",487,380,23,10,"2,081","2,077","1,833",122,97,394
2018,동대문구,9,189,"4,250","2,345","1,905",393,293,29,8,"1,517","1,505","1,317",146,99,322
2018,중랑구,11,260,"6,213","3,600","2,613",520,384,33,23,"2,143","2,140","1,870",161,116,445
2018,성북구,10,240,"6,180","3,565","2,615",474,350,35,9,"1,963","1,962","1,929",127,103,369
2018,강북구,8,174,"4,437","2,195","2,242",353,260,24,7,"1,535","1,531","1,379",116,82,285
2018,도봉구,11,263,"6,064","3,250","2,814",522,364,31,14,"2,190","2,188","1,802",133,110,424
2018,노원구,21,558,"13,842","6,972","6,870","1,079",795,71,35,"4,824","4,819","4,137",291,206,837
2018,은평구,11,260,"6,564","3,530","3,034",505,370,33,16,"2,335","2,329","1,983",148,106,406
2018,서대문구,7,147,"3,557","1,997","1,560",297,230,24,7,"1,215","1,215","1,096",105,66,233
2018,마포구,9,225,"5,583","2,508","3,075",461,354,30,10,"1,812","1,809","1,716",109,112,375
2018,양천구,16,574,"14,886","7,697","7,189","1,111",856,55,31,"5,251","5,233","4,640",223,181,793
2018,강서구,16,341,"8,044","4,085","3,959",692,487,55,25,"2,677","2,672","2,491",194,161,597
2018,구로구,12,319,"7,658","3,760","3,898",634,464,36,18,"2,700","2,695","2,421",176,122,516
2018,금천구,7,152,"3,345","1,539","1,806",318,230,16,10,"1,187","1,182","1,030",90,70,266
2018,영등포구,11,265,"6,228","3,384","2,844",531,408,37,19,"2,142","2,138","1,952",139,115,450
